date,plot_id,greenhouse_id,farm_id,input_type,quantity,unit_cost,total_cost,reason,purpose,is_precision_action
2025-08-25,P0001,GH003,F08,Fertilizer,20.14598368,1.95,39.28,Irrigation adjustment,Routine,0
2025-08-25,P0001,GH003,F08,Water,696.9439211,0.0025,1.74,Pest response,Routine,0
2025-08-25,P0001,GH003,F08,Labor,2.242007335,28,62.78,Pest response,Routine,0
2025-08-25,P0001,GH003,F08,Energy,43.29547236,0.19,8.23,Routine,Routine,0
2025-08-31,P0001,GH003,F08,Fertilizer,18.97395691,1.95,37,Pest response,Response to alert,1
2025-08-31,P0001,GH003,F08,Pesticide,1.129983573,14,15.82,Growth phase,Response to alert,1
2025-08-31,P0001,GH003,F08,Water,651.3658184,0.0025,1.63,Irrigation adjustment,Routine,0
2025-03-09,P0002,GH013,F08,Fertilizer,26.36129331,1.95,51.4,Irrigation adjustment,Response to alert,1
2025-03-09,P0002,GH013,F08,Water,608.3324153,0.0025,1.52,Pest response,Routine,0
2025-03-09,P0002,GH013,F08,Labor,1.319586031,28,36.95,Routine,Routine,0
2025-03-22,P0002,GH013,F08,Fertilizer,13.12167855,1.95,25.59,Shock response,Response to alert,1
2025-03-22,P0002,GH013,F08,Pesticide,2.747816704,14,38.47,Pest response,Response to alert,1
2025-03-22,P0002,GH013,F08,Water,652.7731788,0.0025,1.63,Routine,Routine,0
2025-03-22,P0002,GH013,F08,Labor,2.621956897,28,73.41,Pest response,Routine,0
2025-03-22,P0002,GH013,F08,Energy,28.84878866,0.19,5.48,Routine,Routine,0
2025-03-26,P0002,GH013,F08,Fertilizer,28.88851198,1.95,56.33,Shock response,Routine,0
2025-03-26,P0002,GH013,F08,Pesticide,3.223769934,14,45.13,Routine,Response to alert,1
2025-03-26,P0002,GH013,F08,Water,682.4874747,0.0025,1.71,Pest response,Routine,0
2025-04-01,P0002,GH013,F08,Fertilizer,13.1509478,1.95,25.64,Growth phase,Routine,0
2025-04-01,P0002,GH013,F08,Pesticide,2.980012863,14,41.72,Pest response,Routine,0
2025-04-01,P0002,GH013,F08,Water,686.24221,0.0025,1.72,Shock response,Routine,0
2025-04-01,P0002,GH013,F08,Labor,2.054073503,28,57.51,Growth phase,Routine,0
2025-04-01,P0002,GH013,F08,Energy,39.13891504,0.19,7.44,Irrigation adjustment,Routine,0
2025-04-16,P0002,GH013,F08,Fertilizer,19.73323309,1.95,38.48,Routine,Response to alert,1
2025-04-16,P0002,GH013,F08,Water,492.5793388,0.0025,1.23,Growth phase,Routine,0
2025-04-16,P0002,GH013,F08,Labor,1.660452431,28,46.49,Routine,Routine,0
2025-04-20,P0002,GH013,F08,Fertilizer,19.46508674,1.95,37.96,Pest response,Response to alert,1
2025-04-20,P0002,GH013,F08,Pesticide,1.054953912,14,14.77,Pest response,Response to alert,1
2025-04-20,P0002,GH013,F08,Water,720.1541153,0.0025,1.8,Growth phase,Routine,0
2025-04-20,P0002,GH013,F08,Labor,1.518701247,28,42.52,Pest response,Routine,0
2025-04-20,P0002,GH013,F08,Energy,29.88028328,0.19,5.68,Pest response,Routine,0
2025-08-05,P0002,GH013,F08,Fertilizer,20.14623905,1.95,39.29,Pest response,Routine,0
2025-08-05,P0002,GH013,F08,Water,640.7505404,0.0025,1.6,Pest response,Routine,0
2025-08-05,P0002,GH013,F08,Labor,2.964043459,28,82.99,Routine,Routine,0
2025-08-07,P0002,GH013,F08,Pesticide,1.886770314,14,26.41,Growth phase,Response to alert,1
2025-08-07,P0002,GH013,F08,Water,680.3668442,0.0025,1.7,Growth phase,Routine,0
2025-08-07,P0002,GH013,F08,Labor,1.486127315,28,41.61,Routine,Routine,0
2025-08-07,P0002,GH013,F08,Energy,40.8817951,0.19,7.77,Pest response,Routine,0
2025-08-10,P0002,GH013,F08,Water,548.1863947,0.0025,1.37,Growth phase,Routine,0
2025-08-10,P0002,GH013,F08,Labor,0.896709217,28,25.11,Irrigation adjustment,Routine,0
2025-08-10,P0002,GH013,F08,Energy,38.12222464,0.19,7.24,Routine,Routine,0
2025-03-17,P0003,GH003,F08,Fertilizer,4.476015849,1.95,8.73,Growth phase,Routine,0
2025-03-17,P0003,GH003,F08,Pesticide,1.560732265,14,21.85,Irrigation adjustment,Response to alert,1
2025-03-17,P0003,GH003,F08,Water,730.7443731,0.0025,1.83,Growth phase,Routine,0
2025-03-17,P0003,GH003,F08,Labor,1.757883841,28,49.22,Shock response,Routine,0
2025-04-30,P0003,GH003,F08,Fertilizer,15.45378443,1.95,30.13,Growth phase,Response to alert,1
2025-04-30,P0003,GH003,F08,Pesticide,3.823243485,14,53.53,Irrigation adjustment,Routine,0
2025-04-30,P0003,GH003,F08,Energy,39.76441818,0.19,7.56,Routine,Routine,0
2025-05-02,P0003,GH003,F08,Fertilizer,11.45860946,1.95,22.34,Routine,Routine,0
2025-05-02,P0003,GH003,F08,Pesticide,2.113758777,14,29.59,Growth phase,Response to alert,1
2025-05-02,P0003,GH003,F08,Water,497.7165438,0.0025,1.24,Irrigation adjustment,Routine,0
2025-05-02,P0003,GH003,F08,Labor,2.398035911,28,67.15,Irrigation adjustment,Routine,0
2025-05-02,P0003,GH003,F08,Energy,33.22325589,0.19,6.31,Routine,Routine,0
2025-05-09,P0003,GH003,F08,Fertilizer,25.4003282,1.95,49.53,Shock response,Routine,0
2025-05-09,P0003,GH003,F08,Water,516.0138811,0.0025,1.29,Pest response,Routine,0
2025-05-09,P0003,GH003,F08,Labor,2.164811611,28,60.61,Pest response,Routine,0
2025-05-14,P0003,GH003,F08,Fertilizer,29.78741827,1.95,58.09,Irrigation adjustment,Routine,0
2025-05-14,P0003,GH003,F08,Pesticide,3.435577775,14,48.1,Irrigation adjustment,Response to alert,1
2025-05-14,P0003,GH003,F08,Water,800.0317087,0.0025,2,Shock response,Routine,0
2025-05-14,P0003,GH003,F08,Labor,1.679798287,28,47.03,Growth phase,Routine,0
2025-05-14,P0003,GH003,F08,Energy,20.90677535,0.19,3.97,Irrigation adjustment,Routine,0
2025-06-18,P0003,GH003,F08,Pesticide,1.297963084,14,18.17,Growth phase,Routine,0
2025-06-18,P0003,GH003,F08,Water,405.1687276,0.0025,1.01,Pest response,Routine,0
2025-06-18,P0003,GH003,F08,Labor,1.016636978,28,28.47,Routine,Routine,0
2025-06-18,P0003,GH003,F08,Energy,34.30562842,0.19,6.52,Irrigation adjustment,Routine,0
2025-07-07,P0003,GH003,F08,Fertilizer,10.1121971,1.95,19.72,Irrigation adjustment,Response to alert,1
2025-07-07,P0003,GH003,F08,Water,630.9246108,0.0025,1.58,Shock response,Routine,0
2025-07-07,P0003,GH003,F08,Energy,21.97229435,0.19,4.17,Growth phase,Routine,0
2025-07-28,P0003,GH003,F08,Fertilizer,3.478672971,1.95,6.78,Irrigation adjustment,Response to alert,1
2025-07-28,P0003,GH003,F08,Pesticide,2.335261844,14,32.69,Shock response,Routine,0
2025-07-28,P0003,GH003,F08,Water,654.4565087,0.0025,1.64,Growth phase,Routine,0
2025-07-28,P0003,GH003,F08,Labor,2.369991112,28,66.36,Irrigation adjustment,Routine,0
2025-07-28,P0003,GH003,F08,Energy,38.68032997,0.19,7.35,Irrigation adjustment,Routine,0
2025-08-02,P0003,GH003,F08,Fertilizer,27.37770948,1.95,53.39,Routine,Routine,0
2025-08-02,P0003,GH003,F08,Pesticide,1.770091899,14,24.78,Irrigation adjustment,Routine,0
2025-08-02,P0003,GH003,F08,Water,628.1758248,0.0025,1.57,Pest response,Routine,0
2025-08-21,P0003,GH003,F08,Fertilizer,18.38927724,1.95,35.86,Routine,Response to alert,1
2025-08-21,P0003,GH003,F08,Water,634.4676612,0.0025,1.59,Routine,Routine,0
2025-08-21,P0003,GH003,F08,Labor,2.21179187,28,61.93,Growth phase,Routine,0
2025-08-21,P0003,GH003,F08,Energy,22.66806113,0.19,4.31,Shock response,Routine,0
2025-03-10,P0004,GH002,F01,Fertilizer,19.45124754,1.95,37.93,Growth phase,Routine,0
2025-03-10,P0004,GH002,F01,Water,749.318595,0.0025,1.87,Pest response,Routine,0
2025-03-29,P0004,GH002,F01,Fertilizer,25.68668866,1.95,50.09,Irrigation adjustment,Routine,0
2025-03-29,P0004,GH002,F01,Pesticide,1.410574283,14,19.75,Shock response,Routine,0
2025-03-29,P0004,GH002,F01,Water,623.0071556,0.0025,1.56,Routine,Routine,0
2025-03-29,P0004,GH002,F01,Labor,0.719639577,28,20.15,Pest response,Routine,0
2025-03-29,P0004,GH002,F01,Energy,48.34221703,0.19,9.19,Pest response,Routine,0
2025-04-04,P0004,GH002,F01,Pesticide,2.178671831,14,30.5,Growth phase,Response to alert,1
2025-04-04,P0004,GH002,F01,Water,688.6600517,0.0025,1.72,Pest response,Routine,0
2025-04-04,P0004,GH002,F01,Labor,0.985649285,28,27.6,Irrigation adjustment,Routine,0
2025-05-13,P0004,GH002,F01,Fertilizer,22.5381329,1.95,43.95,Growth phase,Routine,0
2025-05-13,P0004,GH002,F01,Water,543.5921545,0.0025,1.36,Shock response,Routine,0
2025-05-13,P0004,GH002,F01,Labor,0.358536375,28,10.04,Irrigation adjustment,Routine,0
2025-05-13,P0004,GH002,F01,Energy,38.14315985,0.19,7.25,Pest response,Routine,0
2025-05-15,P0004,GH002,F01,Fertilizer,19.29573904,1.95,37.63,Growth phase,Routine,0
2025-05-15,P0004,GH002,F01,Pesticide,3.607156569,14,50.5,Shock response,Response to alert,1
2025-05-15,P0004,GH002,F01,Water,879.0719571,0.0025,2.2,Irrigation adjustment,Routine,0
2025-05-15,P0004,GH002,F01,Labor,2.46703113,28,69.08,Shock response,Routine,0
2025-05-15,P0004,GH002,F01,Energy,46.31410525,0.19,8.8,Pest response,Routine,0
2025-06-19,P0004,GH002,F01,Fertilizer,21.68673647,1.95,42.29,Growth phase,Response to alert,1
2025-06-19,P0004,GH002,F01,Pesticide,2.768605046,14,38.76,Routine,Response to alert,1
2025-06-19,P0004,GH002,F01,Water,826.111179,0.0025,2.07,Shock response,Routine,0
2025-06-19,P0004,GH002,F01,Labor,1.855305195,28,51.95,Irrigation adjustment,Routine,0
2025-06-19,P0004,GH002,F01,Energy,32.02246464,0.19,6.08,Shock response,Routine,0
2025-07-01,P0004,GH002,F01,Fertilizer,10.02992961,1.95,19.56,Shock response,Response to alert,1
2025-07-01,P0004,GH002,F01,Pesticide,1.698604875,14,23.78,Shock response,Response to alert,1
2025-07-01,P0004,GH002,F01,Water,676.0420755,0.0025,1.69,Routine,Routine,0
2025-08-26,P0004,GH002,F01,Fertilizer,18.38033571,1.95,35.84,Irrigation adjustment,Routine,0
2025-08-26,P0004,GH002,F01,Water,700.6439098,0.0025,1.75,Pest response,Routine,0
2025-08-26,P0004,GH002,F01,Labor,1.659413617,28,46.46,Routine,Routine,0
2025-03-10,P0005,GH004,F01,Fertilizer,24.99845126,1.95,48.75,Shock response,Routine,0
2025-03-10,P0005,GH004,F01,Pesticide,2.334712533,14,32.69,Growth phase,Response to alert,1
2025-03-10,P0005,GH004,F01,Water,569.6154461,0.0025,1.42,Growth phase,Routine,0
2025-03-10,P0005,GH004,F01,Labor,1.334364256,28,37.36,Pest response,Routine,0
2025-03-16,P0005,GH004,F01,Fertilizer,26.49174388,1.95,51.66,Pest response,Routine,0
2025-03-16,P0005,GH004,F01,Pesticide,2.034455029,14,28.48,Routine,Response to alert,1
2025-03-16,P0005,GH004,F01,Water,482.914122,0.0025,1.21,Pest response,Routine,0
2025-03-16,P0005,GH004,F01,Labor,2.198874711,28,61.57,Shock response,Routine,0
2025-03-16,P0005,GH004,F01,Energy,36.07894675,0.19,6.85,Irrigation adjustment,Routine,0
2025-04-10,P0005,GH004,F01,Fertilizer,24.30121183,1.95,47.39,Shock response,Routine,0
2025-04-10,P0005,GH004,F01,Water,420.6247131,0.0025,1.05,Growth phase,Routine,0
2025-05-29,P0005,GH004,F01,Fertilizer,20.33991975,1.95,39.66,Irrigation adjustment,Response to alert,1
2025-05-29,P0005,GH004,F01,Water,868.1765928,0.0025,2.17,Pest response,Routine,0
2025-05-29,P0005,GH004,F01,Labor,3.150875786,28,88.22,Routine,Routine,0
2025-05-29,P0005,GH004,F01,Energy,38.70456815,0.19,7.35,Growth phase,Routine,0
2025-06-17,P0005,GH004,F01,Fertilizer,21.82922379,1.95,42.57,Growth phase,Routine,0
2025-06-17,P0005,GH004,F01,Pesticide,1.562268983,14,21.87,Routine,Routine,0
2025-06-17,P0005,GH004,F01,Water,625.7030363,0.0025,1.56,Growth phase,Routine,0
2025-06-17,P0005,GH004,F01,Labor,1.812469037,28,50.75,Pest response,Routine,0
2025-06-17,P0005,GH004,F01,Energy,23.26798063,0.19,4.42,Irrigation adjustment,Routine,0
2025-06-28,P0005,GH004,F01,Fertilizer,21.66073223,1.95,42.24,Growth phase,Response to alert,1
2025-06-28,P0005,GH004,F01,Pesticide,0.888752149,14,12.44,Irrigation adjustment,Response to alert,1
2025-06-28,P0005,GH004,F01,Water,562.3100685,0.0025,1.41,Irrigation adjustment,Routine,0
2025-06-28,P0005,GH004,F01,Labor,1.431644319,28,40.09,Irrigation adjustment,Routine,0
2025-06-28,P0005,GH004,F01,Energy,33.1611928,0.19,6.3,Pest response,Routine,0
2025-07-05,P0005,GH004,F01,Fertilizer,16.08310645,1.95,31.36,Growth phase,Routine,0
2025-07-05,P0005,GH004,F01,Water,815.9589442,0.0025,2.04,Irrigation adjustment,Routine,0
2025-07-05,P0005,GH004,F01,Energy,25.07611584,0.19,4.76,Pest response,Routine,0
2025-07-09,P0005,GH004,F01,Fertilizer,24.63405193,1.95,48.04,Routine,Routine,0
2025-07-09,P0005,GH004,F01,Pesticide,1.583534114,14,22.17,Routine,Routine,0
2025-07-09,P0005,GH004,F01,Water,533.792798,0.0025,1.33,Growth phase,Routine,0
2025-07-10,P0005,GH004,F01,Fertilizer,13.97340378,1.95,27.25,Irrigation adjustment,Routine,0
2025-07-10,P0005,GH004,F01,Water,858.6101296,0.0025,2.15,Irrigation adjustment,Routine,0
2025-07-10,P0005,GH004,F01,Labor,1.880540932,28,52.66,Pest response,Routine,0
2025-07-10,P0005,GH004,F01,Energy,31.69044094,0.19,6.02,Irrigation adjustment,Routine,0
2025-07-11,P0005,GH004,F01,Fertilizer,14.29525773,1.95,27.88,Shock response,Response to alert,1
2025-07-11,P0005,GH004,F01,Water,608.8642231,0.0025,1.52,Irrigation adjustment,Routine,0
2025-07-11,P0005,GH004,F01,Labor,2.002533744,28,56.07,Routine,Routine,0
2025-07-20,P0005,GH004,F01,Pesticide,3.207825465,14,44.91,Pest response,Routine,0
2025-07-20,P0005,GH004,F01,Water,522.7035924,0.0025,1.31,Growth phase,Routine,0
2025-08-15,P0005,GH004,F01,Fertilizer,18.22177515,1.95,35.53,Irrigation adjustment,Response to alert,1
2025-08-15,P0005,GH004,F01,Pesticide,4.003832294,14,56.05,Pest response,Response to alert,1
2025-08-15,P0005,GH004,F01,Water,852.3480913,0.0025,2.13,Shock response,Routine,0
2025-03-23,P0006,GH008,F05,Fertilizer,15.29769172,1.95,29.83,Shock response,Routine,0
2025-03-23,P0006,GH008,F05,Pesticide,2.554662159,14,35.77,Growth phase,Routine,0
2025-03-23,P0006,GH008,F05,Water,424.5402233,0.0025,1.06,Pest response,Routine,0
2025-03-23,P0006,GH008,F05,Labor,1.48681895,28,41.63,Routine,Routine,0
2025-03-23,P0006,GH008,F05,Energy,32.81301256,0.19,6.23,Shock response,Routine,0
2025-03-24,P0006,GH008,F05,Fertilizer,10.5703615,1.95,20.61,Pest response,Response to alert,1
2025-03-24,P0006,GH008,F05,Water,769.3416354,0.0025,1.92,Routine,Routine,0
2025-04-11,P0006,GH008,F05,Fertilizer,26.76626475,1.95,52.19,Routine,Response to alert,1
2025-04-11,P0006,GH008,F05,Water,489.0469248,0.0025,1.22,Routine,Routine,0
2025-04-11,P0006,GH008,F05,Labor,1.836974645,28,51.44,Irrigation adjustment,Routine,0
2025-04-17,P0006,GH008,F05,Fertilizer,16.07229056,1.95,31.34,Irrigation adjustment,Response to alert,1
2025-04-17,P0006,GH008,F05,Pesticide,2.532573104,14,35.46,Shock response,Response to alert,1
2025-04-17,P0006,GH008,F05,Water,745.7930712,0.0025,1.86,Pest response,Routine,0
2025-04-20,P0006,GH008,F05,Fertilizer,18.79651253,1.95,36.65,Routine,Routine,0
2025-04-20,P0006,GH008,F05,Water,687.9878048,0.0025,1.72,Irrigation adjustment,Routine,0
2025-04-20,P0006,GH008,F05,Energy,38.46752014,0.19,7.31,Shock response,Routine,0
2025-05-14,P0006,GH008,F05,Fertilizer,11.17595097,1.95,21.79,Pest response,Routine,0
2025-05-14,P0006,GH008,F05,Pesticide,2.330066112,14,32.62,Shock response,Routine,0
2025-05-14,P0006,GH008,F05,Water,778.9719966,0.0025,1.95,Irrigation adjustment,Routine,0
2025-05-14,P0006,GH008,F05,Labor,0.491724161,28,13.77,Pest response,Routine,0
2025-05-14,P0006,GH008,F05,Energy,31.62207845,0.19,6.01,Growth phase,Routine,0
2025-05-26,P0006,GH008,F05,Fertilizer,17.86775901,1.95,34.84,Growth phase,Response to alert,1
2025-05-26,P0006,GH008,F05,Pesticide,0.433846995,14,6.07,Growth phase,Routine,0
2025-05-26,P0006,GH008,F05,Water,678.4289096,0.0025,1.7,Irrigation adjustment,Routine,0
2025-05-26,P0006,GH008,F05,Labor,3.426770842,28,95.95,Irrigation adjustment,Routine,0
2025-05-26,P0006,GH008,F05,Energy,27.40542138,0.19,5.21,Routine,Routine,0
2025-05-28,P0006,GH008,F05,Fertilizer,21.66905488,1.95,42.25,Irrigation adjustment,Routine,0
2025-05-28,P0006,GH008,F05,Pesticide,2.620446016,14,36.69,Growth phase,Response to alert,1
2025-05-28,P0006,GH008,F05,Water,622.5351148,0.0025,1.56,Pest response,Routine,0
2025-05-28,P0006,GH008,F05,Energy,37.12507767,0.19,7.05,Irrigation adjustment,Routine,0
2025-06-03,P0006,GH008,F05,Fertilizer,9.457850894,1.95,18.44,Routine,Response to alert,1
2025-06-03,P0006,GH008,F05,Pesticide,2.245125108,14,31.43,Routine,Response to alert,1
2025-06-03,P0006,GH008,F05,Water,474.3026901,0.0025,1.19,Growth phase,Routine,0
2025-06-03,P0006,GH008,F05,Energy,38.80406225,0.19,7.37,Pest response,Routine,0
2025-06-14,P0006,GH008,F05,Fertilizer,15.51822406,1.95,30.26,Shock response,Routine,0
2025-06-14,P0006,GH008,F05,Water,741.489323,0.0025,1.85,Routine,Routine,0
2025-06-14,P0006,GH008,F05,Labor,2.111999913,28,59.14,Routine,Routine,0
2025-06-14,P0006,GH008,F05,Energy,28.11635721,0.19,5.34,Pest response,Routine,0
2025-07-05,P0006,GH008,F05,Fertilizer,22.87173153,1.95,44.6,Pest response,Routine,0
2025-07-05,P0006,GH008,F05,Pesticide,2.584534059,14,36.18,Shock response,Response to alert,1
2025-07-05,P0006,GH008,F05,Water,712.0390713,0.0025,1.78,Growth phase,Routine,0
2025-07-05,P0006,GH008,F05,Labor,1.411205577,28,39.51,Irrigation adjustment,Routine,0
2025-07-05,P0006,GH008,F05,Energy,34.15388988,0.19,6.49,Irrigation adjustment,Routine,0
2025-07-26,P0006,GH008,F05,Fertilizer,17.26321312,1.95,33.66,Growth phase,Response to alert,1
2025-07-26,P0006,GH008,F05,Pesticide,1.955185941,14,27.37,Pest response,Routine,0
2025-07-26,P0006,GH008,F05,Water,648.1242748,0.0025,1.62,Routine,Routine,0
2025-07-26,P0006,GH008,F05,Labor,1.185138757,28,33.18,Routine,Routine,0
2025-07-26,P0006,GH008,F05,Energy,34.73300589,0.19,6.6,Shock response,Routine,0
2025-08-30,P0006,GH008,F05,Fertilizer,19.02807859,1.95,37.1,Irrigation adjustment,Response to alert,1
2025-08-30,P0006,GH008,F05,Water,741.1180767,0.0025,1.85,Routine,Routine,0
2025-08-30,P0006,GH008,F05,Energy,27.04955615,0.19,5.14,Routine,Routine,0
2025-02-28,P0007,GH008,F05,Water,528.9945071,0.0025,1.32,Routine,Routine,0
2025-02-28,P0007,GH008,F05,Labor,2.745281492,28,76.87,Shock response,Routine,0
2025-02-28,P0007,GH008,F05,Energy,27.05711432,0.19,5.14,Growth phase,Routine,0
2025-04-07,P0007,GH008,F05,Fertilizer,20.05183626,1.95,39.1,Growth phase,Routine,0
2025-04-07,P0007,GH008,F05,Pesticide,2.295847639,14,32.14,Growth phase,Routine,0
2025-04-07,P0007,GH008,F05,Water,644.2072654,0.0025,1.61,Growth phase,Routine,0
2025-04-07,P0007,GH008,F05,Labor,1.538157422,28,43.07,Pest response,Routine,0
2025-05-08,P0007,GH008,F05,Fertilizer,17.73958289,1.95,34.59,Irrigation adjustment,Response to alert,1
2025-05-08,P0007,GH008,F05,Pesticide,1.524505807,14,21.34,Shock response,Response to alert,1
2025-05-08,P0007,GH008,F05,Water,556.7030965,0.0025,1.39,Routine,Routine,0
2025-05-08,P0007,GH008,F05,Labor,2.334037153,28,65.35,Shock response,Routine,0
2025-05-22,P0007,GH008,F05,Fertilizer,17.24184956,1.95,33.62,Pest response,Response to alert,1
2025-05-22,P0007,GH008,F05,Water,631.8839734,0.0025,1.58,Shock response,Routine,0
2025-05-22,P0007,GH008,F05,Labor,1.470211692,28,41.17,Growth phase,Routine,0
2025-05-22,P0007,GH008,F05,Energy,42.59701243,0.19,8.09,Pest response,Routine,0
2025-05-25,P0007,GH008,F05,Fertilizer,8.870893331,1.95,17.3,Routine,Routine,0
2025-05-25,P0007,GH008,F05,Pesticide,2.923734791,14,40.93,Growth phase,Routine,0
2025-05-25,P0007,GH008,F05,Water,689.7757345,0.0025,1.72,Shock response,Routine,0
2025-05-25,P0007,GH008,F05,Labor,0.861963495,28,24.13,Shock response,Routine,0
2025-06-19,P0007,GH008,F05,Water,542.2597207,0.0025,1.36,Shock response,Routine,0
2025-08-03,P0007,GH008,F05,Fertilizer,16.26379765,1.95,31.71,Routine,Response to alert,1
2025-08-03,P0007,GH008,F05,Pesticide,1.675459115,14,23.46,Shock response,Routine,0
2025-08-03,P0007,GH008,F05,Water,780.4438276,0.0025,1.95,Shock response,Routine,0
2025-08-03,P0007,GH008,F05,Labor,2.151455613,28,60.24,Shock response,Routine,0
2025-08-03,P0007,GH008,F05,Energy,21.98243823,0.19,4.18,Routine,Routine,0
2025-08-16,P0007,GH008,F05,Fertilizer,14.63667816,1.95,28.54,Growth phase,Routine,0
2025-08-16,P0007,GH008,F05,Water,647.0544664,0.0025,1.62,Shock response,Routine,0
2025-08-16,P0007,GH008,F05,Labor,1.707492812,28,47.81,Pest response,Routine,0
2025-08-16,P0007,GH008,F05,Energy,36.7742778,0.19,6.99,Routine,Routine,0
2025-08-24,P0007,GH008,F05,Pesticide,1.664126477,14,23.3,Shock response,Response to alert,1
2025-08-24,P0007,GH008,F05,Water,427.3684495,0.0025,1.07,Shock response,Routine,0
2025-08-24,P0007,GH008,F05,Energy,36.05951123,0.19,6.85,Shock response,Routine,0
2025-03-04,P0008,GH009,F06,Fertilizer,11.32427898,1.95,22.08,Routine,Response to alert,1
2025-03-04,P0008,GH009,F06,Water,587.6768062,0.0025,1.47,Pest response,Routine,0
2025-03-04,P0008,GH009,F06,Labor,1.786622943,28,50.03,Pest response,Routine,0
2025-03-17,P0008,GH009,F06,Fertilizer,15.22458152,1.95,29.69,Pest response,Response to alert,1
2025-03-17,P0008,GH009,F06,Pesticide,2.086036813,14,29.2,Shock response,Routine,0
2025-03-17,P0008,GH009,F06,Water,464.0326184,0.0025,1.16,Growth phase,Routine,0
2025-03-17,P0008,GH009,F06,Energy,41.21578368,0.19,7.83,Growth phase,Routine,0
2025-03-23,P0008,GH009,F06,Fertilizer,20.0043762,1.95,39.01,Growth phase,Routine,0
2025-03-23,P0008,GH009,F06,Water,642.9561787,0.0025,1.61,Shock response,Routine,0
2025-03-23,P0008,GH009,F06,Labor,1.916670105,28,53.67,Routine,Routine,0
2025-03-23,P0008,GH009,F06,Energy,24.37705349,0.19,4.63,Routine,Routine,0
2025-04-17,P0008,GH009,F06,Fertilizer,9.830433114,1.95,19.17,Growth phase,Response to alert,1
2025-04-17,P0008,GH009,F06,Pesticide,2.02928946,14,28.41,Routine,Response to alert,1
2025-04-17,P0008,GH009,F06,Water,711.4220867,0.0025,1.78,Routine,Routine,0
2025-04-17,P0008,GH009,F06,Labor,1.557803921,28,43.62,Growth phase,Routine,0
2025-04-22,P0008,GH009,F06,Fertilizer,19.98526006,1.95,38.97,Growth phase,Routine,0
2025-04-22,P0008,GH009,F06,Pesticide,2.463723103,14,34.49,Growth phase,Routine,0
2025-04-22,P0008,GH009,F06,Water,597.1063249,0.0025,1.49,Routine,Routine,0
2025-04-22,P0008,GH009,F06,Labor,2.439757489,28,68.31,Growth phase,Routine,0
2025-04-22,P0008,GH009,F06,Energy,36.69664498,0.19,6.97,Shock response,Routine,0
