plot_id,season_yield_kg_m2,marketable_ratio,season_revenue_cad,total_cost_cad,season_profit_cad,season_roi,precision_benefit_cad
P0052,4.616829937,0.904262115,1594.401093,1253.967776,340.4333168,0.2714849,221.2816559
P0053,5.516963274,0.936819567,2830.969809,1826.226732,1004.743077,0.550174334,653.0829997
P0054,9.663207517,0.949478471,2020.330977,1515.895125,504.4358523,0.332764348,327.883304
P0055,7.811062285,0.926083376,1673.268962,1318.004205,355.2647571,0.269547514,230.9220921
P0056,8.1999555,0.974594725,2242.98068,1505.662785,737.3178947,0.489696566,479.2566316
P0057,4.082703699,0.917122927,1643.028218,1187.395805,455.6324131,0.383724122,296.1610685
P0058,4.257095232,0.870661754,2023.12038,1356.38718,666.7332003,0.491550798,433.3765802
P0059,5.6297841,0.915863178,2466.478464,1670.311769,796.1666941,0.476657537,517.5083512
P0060,8.87062581,0.874237977,2132.847817,1428.634186,704.2136317,0.492927888,457.7388606
P0061,4.424149515,0.851665782,1491.215415,1067.892112,423.3233034,0.396410179,275.1601472
P0062,5.014830977,0.945890693,2002.564793,1465.180055,537.3847378,0.366770443,349.3000795
P0063,5.310110302,0.877029657,1987.156862,1347.19802,639.9588416,0.475029529,415.9732471
P0064,4.473616155,0.883909661,1819.114678,1290.249203,528.8654751,0.409894053,343.7625588
P0065,9.038238151,0.978368,2674.738459,1739.565277,935.1731826,0.537590164,607.8625687
P0066,5.969064819,0.896078096,1916.991867,1386.488895,530.5029716,0.382623311,344.8269315
P0067,4.863399933,0.901783693,1367.809523,999.2897906,368.519732,0.368781644,239.5378258
P0068,5.072982984,0.968883822,1819.455537,1237.218481,582.2370559,0.470601648,378.4540863
P0069,9.178303057,0.950609293,1287.843185,916.1751224,371.6680631,0.405673603,241.584241
P0070,8.286925636,0.960327492,1471.312725,1126.358719,344.9540057,0.306255902,224.2201037
P0071,5.37301754,0.90556994,2405.555188,1589.756374,815.7988133,0.513159643,530.2692286
P0072,5.368378299,0.8697505,1762.42837,1157.375177,605.0531925,0.522780516,393.2845751
P0073,7.591778695,0.849189434,1694.265927,1499.462807,194.8031208,0.129915274,119.8299805
P0074,10.54171448,0.851173963,1992.276513,1569.625229,422.6512845,0.269268916,274.7233349
P0075,10.65234567,0.859178537,2357.030225,1583.714133,773.3160917,0.488292726,502.6554596
P0076,4.600684776,0.877708849,1760.750157,1103.465499,657.2846577,0.595654924,427.2350275
P0077,5.100150845,0.948832353,2875.160143,1773.91415,1101.245993,0.62080005,715.8098953
P0078,4.809758501,0.872133641,2363.309288,1553.107458,810.2018293,0.521665017,526.631189
P0079,5.577005927,0.899051101,3476.084031,1580.038196,1896.045835,1.2,1232.429793
P0080,4.559466865,0.904139115,2194.862465,1393.054862,801.8076035,0.575575037,521.1749423
P0081,5.127714827,0.883356039,2715.307039,1722.158222,993.1488171,0.576688486,645.5467311
P0082,5.637964232,0.864781526,2133.796107,1425.529075,708.2670325,0.496845028,460.3735711
P0083,9.985080608,0.87752431,1999.217621,1364.040358,635.1772624,0.465658702,412.8652205
P0084,4.864099491,0.959329613,2610.718657,1646.457822,964.2608349,0.585657781,626.7695427
P0085,7.636220873,0.979170118,1295.787913,1035.475524,260.3123893,0.251394054,169.203053
P0086,5.329977276,0.891894394,2986.248837,1357.385835,1628.863002,1.2,1058.760951
P0087,4.002921184,0.904645127,1885.970371,1276.342557,609.6278135,0.477636517,396.2580788
P0088,5.336276938,0.886898398,2155.348865,1632.754749,522.5941154,0.320068961,339.686175
P0089,8.353466485,0.891161419,1381.842944,1158.363583,223.4793613,0.192926784,145.2615849
P0090,5.301194223,0.936204289,2217.552492,1370.16941,847.3830811,0.61845132,550.7990027
P0091,6.090746558,0.942945684,2013.037483,1382.001231,631.0362511,0.456610484,410.1735632
P0092,9.810532819,0.884385263,2215.722257,1475.247506,740.4747504,0.501932555,481.3085877
P0093,8.013671716,0.860302812,2044.862728,1569.363202,475.4995258,0.302988833,309.0746918
P0094,4.660745481,0.93905364,2808.96532,1276.802418,1532.162902,1.2,995.9058863
P0095,6.189399424,0.90151474,2644.056419,1670.676653,973.3797661,0.582626066,632.696848
P0096,8.896592639,0.968281339,1868.980401,1489.908331,379.07207,0.254426438,246.3968455
P0097,5.317845196,0.897306775,2023.363706,919.7107754,1103.652931,1.2,717.3744048
P0098,4.045786795,0.843880101,2190.416318,1454.800225,735.6160933,0.505647498,478.1504606
P0099,5.995764104,0.94165941,1562.066509,1114.61102,447.4554884,0.401445419,290.8460675
P0100,7.465193374,0.978009465,2495.002659,1860.251907,634.7507521,0.341217633,412.5879889
P0101,5.040539444,0.905290656,2500.177912,1799.556347,700.6215648,0.389330162,455.4040171
P0102,10.89486799,0.973370914,1689.575821,1253.369377,436.2064446,0.348027048,283.534189
P0103,8.071642443,0.862762559,2331.721873,1647.194424,684.5274485,0.415571737,444.9428415
P0104,5.344973728,0.869800356,1533.08635,1228.685071,304.4012794,0.247745567,197.8608316
P0105,4.431277297,0.887811686,1673.569098,1112.198553,561.3705455,0.504739504,364.8908545
P0106,4.816012306,0.896832445,1466.69697,1500.092792,-33.3958221,-0.022262504,0
P0107,7.584364791,0.965924146,1095.034538,1243.295485,-148.2609477,-0.11924836,0
P0108,10.62931236,0.976151368,1409.376302,1190.290304,219.0859985,0.184060979,142.405899
P0109,8.53823199,0.911429712,1342.370691,1030.519766,311.8509247,0.30261518,202.703101
P0110,8.163767663,0.937544199,1645.364584,1374.609016,270.7555674,0.196969148,175.9911188
P0111,5.831531266,0.927866656,2198.17508,1529.668347,668.5067336,0.437027239,434.5293768
P0112,3.988529193,0.960474586,2452.316353,1540.560645,911.7557077,0.591833701,592.64121
P0113,5.273344836,0.855089414,2245.782641,1552.162809,693.6198317,0.446873116,450.8528906
P0114,7.992908588,0.918634476,2160.44045,1445.759549,714.6809012,0.49432902,464.5425858
P0115,4.962161958,0.953166117,1635.537714,1087.99219,547.5455232,0.503262365,355.9045901
P0116,8.919062553,0.948391796,2106.56679,1452.848883,653.7179078,0.449955887,424.9166401
P0117,8.764073342,0.947444673,1729.548945,1397.943876,331.6050684,0.237209143,215.5432945
P0118,4.767986937,0.977368005,1366.197879,1394.970597,-28.77271766,-0.020626039,0
P0119,5.195680501,0.843962534,1441.335337,964.8975445,476.437793,0.493770344,309.6845654
P0120,5.622389901,0.854853683,1291.67342,923.0333692,368.6400504,0.399378899,239.6160328
